Alimento,Energia_KJ,Energia_Kcal,Carboidrato,Proteina
"Arroz, polido, cozido, c/ óleo, cebola e alho, c/ sal,",583,138,"29,1","1,59"
"feijão, preto, cozido (50% grão e 50% caldo), c/ óleo e cebola e alho, c/ sal,Phaseolus vulgaris L.,",302,73,14,"1,71"
"Abacaxi, polpa,in natura,Ananas comosus L.,",211,50,"11,6","0,33"
"Banana, nanica,in natura, Musa spp.,",386,91,"21,8","0,21"
"Laranja, Pera,in natura, Citrus sinensis,",157,37,"8,63","0,21"
"mamão, Formosa, polpa,in natura,Carica papaya L.,",198,47,"11,6","0,12"
"Melancia, polpa,in natura, Citrullus spp.,",124,29,"6,52","0,05"
"Uva, Rubi,in natura,Vitis vinifera L. Rubi,",213,50,"12,1","0,54"
"Morango,in natura,Fragaria vesca L.,",125,30,"6,54","0,82"
"Manga, Tommy Atkins, polpa,in natura,Mangifera indica L.,",221,52,"12,8","0,86"
"Açaí­, polpa (média de amostras),Euterpe oleracea Mart.,",278,68,"7,66","0,9"
"Mexerica,'Rio', in natura, Citrus reticulata,",150,36,"9,34","0,65"
"Maçã, Fuji, c/ casca,in natura, Malus domestica,",250,59,"15,2","0,29"
"Carne, boi, acém moída, cozida, c/ óleo, cebola e alho, c/ sal,",867,208,"0,68","25,5"
"Carne, boi, alcatra, frita (c/ óleo de soja), c/ sal, Bos taurus,",1186,285,0,"29,2"
"Carne, boi, capa de contra-filé, c/ gordura, grelhada, c/ manteiga, c/ sal,",1445,348,0,"27,7"
"Carne, boi, charque (carne seca, carne de sol, jaba), dessalgada, frita (c/ óleo de soja), s/ sal, Bos taurus,",1270,305,0,"33,5"
"Carne, boi, charque (carne seca, carne de sol, jaba), dessalgada, refogada (c/ óleo, cebola e alho), s/ sal, Bos taurus,",1065,254,"0,75","34,7"
"Carne, boi, contra-filé de costela, grelhada, c/ óleo e cebola, c/ sal,",1252,300,"0,73","29,2"
"Carne, boi, contra-filé, grelhado/frito, c/ óleo e cebola, c/ sal,",1316,316,"0,51","26,9"
"Carne, boi, contra-filé, grelhado/frito, c/ manteiga, c/ sal,",1505,363,0,"25,4"
"Carne, boi, coração, cozido, c/ óleo, c/ sal,",917,219,0,"28,1"
"Carne, boi, costela, cozida, c/ óleo, c/ sal,",1428,344,0,"27,7"
"Carne, boi, coxão mole (polpa, chã de dentro), s/ gordura, cozida, c/ óleo, cebola e alho, c/ sal,",886,211,"0,68","30,7"
"Carne, boi, coxão mole (polpa, chã de dentro), s/ gordura, frita (c/ óleo de soja), c/ cebola, c/ sal,",1012,242,"0,88",27
"Carne, boi, filé mignon, s/ gordura, frita (c/ óleo de soja), c/ sal, Bos taurus,",1105,265,0,30
"Carne, boi, filé mignon, s/ gordura, grelhada, c/ óleo, cebola e alho, c/ sal,",889,212,"0,52","31,3"
"Carne, boi, filé mignon, s/ gordura, grelhada, c/ manteiga, c/ sal,",1101,264,0,"29,6"
"Carne, boi, filé mignon, s/ gordura, grelhada/assada, s/ óleo, c/ sal, Bos taurus,",880,210,0,"32,7"
"Carne, boi, fraldinha, c/ gordura, frita (c/ óleo de soja), c/ sal, Bos taurus,",1205,290,0,"19,9"
"Carne, boi, paleta, s/ gordura, cozida, refogada (c/ óleo, cebola e alho), c/ sal,",786,187,"0,68","28,2"
"Carne, boi, paleta, s/ gordura, frita (c/ óleo de soja), c/ sal, Bos taurus,",1008,242,0,"27,2"
"Carne, boi, patinho, s/ gordura, frita (c/ óleo de soja), c/ sal, Bos taurus,",1101,263,0,"32,9"
"Carne, boi, patinho, s/ gordura, grelhada, c/ óleo, cebola e alho, c/ sal,",890,212,"0,79","34,2"
"Carne, boi, patinho, s/ gordura, grelhada, c/ manteiga, c/ sal,",1102,264,0,"32,3"
"Carne, boi, picanha, grelhada/assada, s/ óleo, c/ sal (média de amostras c/ e s/ gordura), Bos taurus,",1062,254,0,29
"Carne, boi, picanha, s/ gordura, grelhada, c/ manteiga, c/ sal,",1183,284,0,"28,8"
"Carne, frango, asa, c/ pele, assada, s/ óleo, c/ sal, Gallus gallus,",969,233,0,"23,1"
"Carne, frango, asa, c/ pele, cozida (lí­quido do cozimento excluído), s/ óleo, c/ sal, Gallus gallus,",924,222,0,21
"Carne, frango, asa, c/ pele, frita (c/ óleo de soja), c/ sal, Gallus gallus,",1186,286,0,"21,3"
"Carne, frango, coração, frita (c/ óleo de soja), c/ sal, Gallus gallus,",1054,254,0,"20,6"
"Carne, frango, coração, grelhada, s/ óleo, c/ sal, Gallus gallus,",825,198,0,"22,3"
"Carne, frango, coxa, c/ pele, assada, s/ óleo, c/ sal,",865,207,"0,06","28,4"
"Carne, frango, coxa, s/ pele, cozida, s/ óleo, c/ sal,",668,159,0,"26,6"
"Carne, porco, bisteca, frita (c/ óleo de soja), c/ sal, Sus ssp,",1253,300,0,"33,6"
"Carne, porco, costela, assada, s/ óleo, c/ sal, Sus ssp,",1627,392,0,"30,1"
"Carne, porco, costela, frita (c/ óleo de soja), c/ sal, Sus ssp,",1791,432,0,"27,7"
"Carne, porco, costela, refogada (c/ óleo, cebola e alho), c/ sal, Sus ssp,",1734,418,"0,74","29,2"
"Carne, porco, lombo, grelhada/assada, s/ óleo, c/ sal, Sus ssp,",840,200,0,"35,6"
"Arroz, integral, cozido, c/ óleo, cebola e alho, c/ sal,",489,116,23,"2,46"
"Batata, doce, s/ casca, assada, c/ óleo de soja, c/ sal,",610,144,"35,1","2,18"
"Batata, doce, s/ casca, assada, salsa, c/ azeite de oliva, c/ pimenta-do-reino, c/ sal,",764,182,"33,3","2,09"
"Batata, doce, s/ casca, cozida, drenada, c/ óleo de soja, c/ sal,",466,111,"22,4","0,83"
